location_name,floor,location_detail,total_amount,repair_count
T.O.P,G/F,總電掣房 (近L7 Lift),3749.08,466
彌敦道700號辦公大樓,7樓,暢通易達洗手間,22000.0,279
T.O.P,MTR/F,走廊,12318.36,275
T.O.P,G/F,西洋菜南街外圍,2200.0,242
T.O.P,B/F,隔油缸房A (近水簾泵房),101970.98,182
T.O.P,4/F,走廊,961.95,182
長發廣場,G/F,女洗手間 (130號舖側),60361.39,81
長發廣場,2/F,女洗手間 (231B號舖側),10400.0,80
元州商場,G/F,商場大堂(G16至G20),9521.0,75
彩園廣場,3/F,中庭,7413.68,74
元州商場,1/F,公眾走廊,9750.0,73
愛民廣場,1/F,男洗手間(6號廁),10740.0,70
T.O.P,B/F,女洗手間,516.62,69
T.O.P,3/F,女洗手間,12610.0,66
T.O.P,3/F,走廊,15157.43,64
頌安商場,1/F,走廊,27816.22,59
T.O.P,2/F,走廊,8300.0,56
何文田廣場,G/F,升降機大堂(L1),1060.0,56
T.O.P,1/F,走廊,4136.6,55
樂富廣場A區,1/F,美食坊,26920.0,52
愛民廣場,G/F,正門,7939.24,51
元州商場,1/F,男廁,504.0,50
TKO Gateway商場西翼,1/F,男廁no.1,83611.08,50
彩園廣場,3/F,走廊,11378.58,49
長發廣場,3/F,商場走廊,8154.84,48
TKO Gateway商場東翼,1/F,女廁,4092.7,48
T.O.P,2/F,女洗手間,13517.93,46
TKO Gateway商場東翼,1/F,走廊(商場),9535.0,44
天瑞商場,1/F,女洗手間,17940.0,43
TKO Gateway商場東翼,1/F,男廁,2310.0,42
大興街市,G/F,走廊,18746.0,41
長發廣場,G/F,戶外範圍,2200.0,40
Po Lam Shopping Centre商場一期,2/F,女廁,35711.98,37
T Town商場北,1/F,男廁,5173.23,37
TKO Spot商場,1/F,女廁,10387.36,35
TQS辦公大樓1座,21樓,辦公室租戶,1498.35,35
小西灣廣場,1/F,女洗手間,6000.0,34
彩園廣場,G/F,出入口(自動玻璃門),35341.97,34
長發廣場,2/F,中庭,480.0,33
樂富廣場A區,3/F,走廊,28138.7,33
T.O.P,2/F,保安室,226976.08,33
長發廣場,G/F,出入口 (136-137號舖側往街市),4927.97,30
TKO Gateway商場西翼,1/F,女廁no.1,10821.15,30
大興商場1期,1/F,走廊,72881.75,30
Po Lam Shopping Centre商場二期,3/F,男廁,17635.03,29
TKO Gateway商場西翼,1/F,走廊(商場),18295.24,29
朗屏商場,1/F,女廁,24985.0,28
彩雲商場二期,R/F,公共區域,45280.36,26
彩雲商場老人院,R/F,戶外範圍,2090.0,26
小西灣廣場,3/F,女洗手間,7253.0,26
彌敦道700號辦公大樓,20樓,走廊,2205.0,26
建生商場,1/F,男廁,11962.0,26
長發廣場,G/F,食堂,5770.0,26
赤柱廣場,1/F,公共區域走廊,13191.24,25
天盛商場,G/F,上落貨區,30561.8,25
美利樓,G/F,公共區域走廊,2200.0,25
T Town商場北,1/F,女廁,16871.05,25
TKO Gateway商場西翼,1/F,女廁no.2,18424.0,24
慈雲山中心,5/F,男廁(540舖側),4400.0,24
天澤街市,G/F,男廁,15471.55,24
TKO Gateway商場西翼,1/F,男廁no.2,2485.0,23
彩明商場一期,3/F,女廁廁格,13400.0,23
Po Lam Shopping Centre商場一期,3/F,女廁,8462.43,23
天耀廣場,G/F,女廁,65539.1,22
慈雲山中心,6/F,商場走廊(621至639號舖對出),36033.35,22
TKO Spot商場,1/F,男廁,17628.87,22
啟田商場舊翼,4/F,通道(商場),7202.36,22
建生商場,2/F,走廊,6161.88,22
T Town商場南,G/F,上落貨區,39060.0,22
TKO Spot商場,2/F,男廁,24144.3,21
慈雲山中心,5/F,中庭 (近SH504&516號舖),16168.58,21
大興商場1期,G/F,走廊,36723.04,21
